"Timestamp,IP Address,Username,Action,Status"
"2026-04-01 08:00,192.168.1.10,jdoe,login,success"
"2026-04-01 08:05,192.168.1.15,admin,login,failed"
"2026-04-01 08:06,192.168.1.15,admin,login,failed"
"2026-04-01 08:07,192.168.1.15,admin,login,failed"
"2026-04-01 08:08,192.168.1.15,admin,login,failed"
"2026-04-01 08:10,192.168.1.20,asmith,login,success"
"2026-04-01 08:15,203.0.113.5,unknown,login,failed"
"2026-04-01 08:16,203.0.113.5,unknown,login,failed"
"2026-04-01 08:17,203.0.113.5,unknown,login,failed"
"2026-04-01 08:20,192.168.1.10,jdoe,file_access,success"
"2026-04-01 08:25,203.0.113.5,unknown,login,success"
